"MS_SubClass","MS_Zoning","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod/Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_Type_2","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","3Ssn_Porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Yr_Sold","Sale_Type","Sale_Condition","SalePrice","Has_Basement","Has_Garage","Has_Fireplace","Has_Pool","Has_Fence","Has_Alley","Has_MasVnr"
"060","RL",8726,"Pave","NA",4,"Lvl",4,"Inside",3,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,1,872,"GasA",5,"Y",5,1909,0,0,2,1,4,1,4,8,0,0,"BuiltIn",2,2,529,3,3,3,0,108,0,0,0,0,0,0,"NA",0,9,2006,"WD","Normal",197000,1,1,0,0,0,0,0
"020","RL",50271,"Pave","NA",3,"Low",4,"Inside",3,"Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng","None",0,4,3,"CBlock",5,3,4,6,1,1842,"GasA",4,"Y",5,1842,2,0,0,1,0,1,4,8,1,4,"Attchd",3,3,894,3,3,3,857,72,0,0,0,0,0,0,"NA",0,11,2006,"WD","Normal",385000,1,1,1,0,0,0,0
"050","RL",10836,"Pave","Grvl",4,"Lvl",4,"Inside",3,"OldTown","Norm","Norm","1Fam","1.5Fin",5,5,1922,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,1,1,1,892,"GasA",5,"Y",5,1436,0,1,1,0,3,1,3,8,1,4,"Detchd",1,4,1488,2,3,1,0,0,100,0,0,0,0,2,"NA",0,6,2008,"WD","Normal",139000,1,1,1,0,1,1,0
"160","FV",2160,"Pave","Pave",4,"Lvl",4,"Inside",3,"Somerst","Norm","Norm","Twnhs","2Story",7,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",212,4,3,"PConc",4,3,1,4,1,600,"GasA",5,"Y",5,1252,1,0,2,1,2,1,4,8,0,0,"Detchd",1,2,462,3,3,3,0,48,0,0,0,0,0,0,"NA",0,3,2008,"WD","Normal",160000,1,1,0,0,0,1,1
"050","RM",5520,"Pave","NA",3,"Lvl",4,"FR2",3,"BrkSide","Feedr","Norm","1Fam","1.5Fin",5,7,1920,1997,"Gable","CompShg","AsbShng","AsbShng","None",0,3,4,"BrkTil",3,3,1,5,1,565,"GasA",3,"Y",5,1216,1,0,1,0,3,1,3,8,1,4,"BuiltIn",2,1,355,2,3,3,0,0,180,0,0,0,0,3,"NA",0,4,2008,"WD","Normal",115000,1,1,1,0,1,0,0
"020","RL",9000,"Pave","NA",3,"HLS",4,"Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Flat","Tar&Grv","Wd Sdng","Wd Sdng","BrkFace",82,3,3,"CBlock",4,3,4,1,1,160,"GasA",2,"Y",5,1142,0,0,1,0,2,1,3,8,1,4,"Basment",2,1,384,3,3,3,0,28,64,0,0,0,0,0,"NA",0,4,2009,"WD","Normal",113500,1,1,1,0,0,0,1
"050","RM",6060,"Pave","NA",4,"Lvl",4,"Inside",3,"IDOTRR","Norm","Norm","1Fam","1.5Fin",4,5,1939,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,3,3,"PConc",3,3,1,1,1,732,"GasA",4,"Y",5,1123,0,0,1,0,3,1,3,8,0,0,"Detchd",1,1,264,3,3,2,0,0,140,0,0,0,0,3,"NA",0,6,2007,"WD","Normal",1e+05,1,1,0,0,1,0,0
"020","RL",10197,"Pave","NA",3,"Lvl",4,"Inside",3,"NAmes","Norm","Norm","1Fam","1Story",6,5,1961,1961,"Gable","CompShg","WdShing","Wd Shng","BrkCmn",491,3,3,"CBlock",3,3,1,5,3,1362,"GasA",3,"Y",5,1362,1,0,1,1,3,1,3,8,1,3,"Attchd",1,2,504,3,3,3,0,20,0,0,0,0,0,0,"NA",0,6,2008,"COD","Normal",163000,1,1,1,0,0,0,1
"020","RL",9345,"Pave","NA",3,"Lvl",4,"Inside",3,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",156,4,3,"PConc",4,3,3,1,1,1615,"GasA",5,"Y",5,1615,0,0,2,0,3,1,4,8,1,4,"Attchd",2,3,864,3,3,3,168,30,0,0,0,0,0,0,"NA",0,5,2008,"WD","Normal",248500,1,1,1,0,0,0,1
"090","RH",7136,"Pave","NA",3,"HLS",4,"Inside",3,"Crawfor","Norm","Norm","Duplex","2Story",6,6,1946,1950,"Gable","CompShg","MetalSd","MetalSd","BrkFace",423,3,3,"CBlock",4,3,1,3,1,979,"GasA",3,"N",2,1958,0,0,2,0,4,2,3,8,0,0,"Attchd",1,2,492,3,3,3,0,0,0,0,0,0,0,0,"NA",0,8,2007,"WD","Normal",145000,1,1,0,0,0,0,1
